"docname","sentence","datelabel","isodate"
"Revision of the EU Emission Trading System for Aviation","(13)    Council Decision (EU) 2020/954 of 25 June 2020 on the position to be taken on behalf of the European Union within the International Civil Aviation Organization as regards the notification of voluntary participation in the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) from 1 January 2021 and the option selected for calculating aeroplane operators’ offsetting requirements during the 2021-2023 period (OJ L 212, 3","25 june 2020","2020-06-25"
"Revision of the Energy Tax Directive","(43)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","Due to the COVID-19 pandemic, the ICAO Council decided in June 2020 that 2019 emissions should be used as baseline in 2021-2023 instead of the average of 2019-2020 emissions 1","june 2020","2020-06-01"
"Revision of the Energy Tax Directive","(12)    Regulation (EU) 2018/841 of 30 May 2018 on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry in the 2030 climate and energy framework (13)    Directive 2014/94/EU of 22 October 2014 on the deployment of alternative fuels infrastructure (14)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Social Climate Fund","(24)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Social Climate Fund","(34)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","(4)Due to a large decrease in aviation emissions in 2020 as a consequence of the COVID-19 pandemic, the ICAO Council decided in its 220th session in June 2020 that 2019 emissions should be used as baseline for calculating the offsetting by aircraft operators for the years 2021-23","june 2020","2020-06-01"
"Revision of the Energy Tax Directive","(34)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","org/en/projects/sectors/transport/cleaner-transport-f acility   (48)   Regulation (EU) 2020/852  of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088","june 2020","2020-06-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(8)    Regulation (EU) 2020/852 of the European Parliament of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","june 2020","2020-06-01"
"Proposal for a Directive on energy efficiency (recast)","(77)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088, OJ L 198, 22","june 2020","2020-06-01"
"Proposal for a Directive on energy efficiency (recast)","(4)    Regulation (EU) 2020/740 of the European Parliament and of the Council of 25 May 2020 on the labelling of tyres with respect to fuel efficiency and other parameters, amending Regulation (EU) 2017/1369 and repealing Regulation (EC) No 1222/2009 (OJ L 177, 5","may 2020","2020-05-01"
"Proposal for a Directive on energy efficiency (recast)","Regulation (EU) 2017/1369 of the European Parliament and of the Council of 4 July 2017 setting a framework for energy labelling and Regulation (EU) 2020/740 of the European Parliament and of the Council of 25 May 2020 on the labelling of tyres with respect to fuel efficiency and other parameters respectively","may 2020","2020-05-01"
"Proposal for a Directive on energy efficiency (recast)","Regulation (EU) 2017/1369 of the European Parliament and of the Council of 4 July 2017 setting a framework for energy labelling and Regulation (EU) 2020/740 of the European Parliament and of the Council of 25 May 2020 on the labelling of tyres with respect to fuel efficiency and other parameters respectively","may 2020","2020-05-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","An open public consultation organised by the Commission, running from 6 April 2020 to 29 June 2020","april 2020","2020-04-01"
"Carbon border adjustment mechanism","A consultation took place until 1 April 2020 20  with the aim to collect feedback on the initial considerations of the project","1 april 2020","2020-04-01"
"FuelEU Maritime – green European maritime space","Stakeholders’ views started to be collected in response to the publication of the inception impact assessment (March and April 2020)","april 2020","2020-04-01"
"ReFuelEU Aviation – sustainable aviation fuels","The Commission carried out a public consultation in March and April 2020 on the inception impact assessment","april 2020","2020-04-01"
